No,確認項目,条件,判定基準
10,IAMロールの確認,"1. AWSマネジメントコンソールを開く
2. IAMロール一覧を表示する",対象ロール「xxx」が存在すること
20,サービスロールの確認,サービスロール「xxx」を確認する,ポリシーが設定されていること
50,Cognitoユーザープールの確認,"1. AWSマネジメントコンソールを開く
2. Cognitoのユーザープール一覧を表示する",対象プール「xxx」が存在すること
60,ユーザー情報の表示,"1. ユーザープール「xxx」を選択
2. ユーザー一覧を表示する",ユーザー情報が正しく表示されること
70,ユーザー追加,1. ユーザープール「xxx」に新しいユーザーを追加する,ユーザーが一覧に表示されること
80,ユーザー情報更新,"1. 既存ユーザーを選択
2. ユーザー情報を更新する",更新内容が反映されていること
90,Lambdaのリクエスト制限確認,"1. AWSマネジメントコンソールでLambdaを開く
2. リクエスト回数制限を表示する",設定値が「xxx」であること
100,APIリクエスト制限確認,"1. ユーザーでAPIを短時間に連続呼び出し
2. リクエスト制限に達した際の挙動を確認",429エラーが返ること
110,DynamoDBテーブル確認,1. DynamoDBのテーブル「xxx」を開く,対象テーブルが存在すること
120,S3/CloudFront配信確認,"1. ReactビルドをS3にアップロード
2. CloudFront経由で画面表示確認",React画面が正しく表示されること
130,CORS設定確認,"1. React画面からAPIを呼び出す
2. 開発者ツールでCORS確認",CORSエラーが出ないこと
140,APIスロットリング確認,1. 同一IPから短時間にAPIを連続実行,429エラーが返ること
